uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,targetTaxaPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,additionalSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"e4b2bd1f-0c6a-417b-b626-48bb55dc5053","UNDE_038.basePlot.div","D05","UNDE",46.232249,-89.534573,"WGS84",20.25,505.5,0.4,"tower","woodyWetlands","UNDE_038","32.2.10","2022-06-01",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","ACSA3","Acer saccharum Marshall","species","Aceraceae","N",,,,,,"Y",,"0000-0002-1260-7286","0000-0002-1260-7286","OK",,"OK - no known exceptions"
"0a6fcdf0-d26b-46c6-917b-d7e92e27e51d","UNDE_038.basePlot.div","D05","UNDE",46.232249,-89.534573,"WGS84",20.25,505.5,0.4,"tower","woodyWetlands","UNDE_038","32.2.10","2022-06-01",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","VAMY","Vaccinium myrtilloides Michx.","species","Ericaceae","N",,,,,,"Y",,"0000-0002-1260-7286","0000-0002-1260-7286","OK",,"OK - no known exceptions"
"938e3686-be1e-4f05-9d9c-52b6932e55ad","UNDE_038.basePlot.div","D05","UNDE",46.232249,-89.534573,"WGS84",20.25,505.5,0.4,"tower","woodyWetlands","UNDE_038","40.1.10","2022-06-01",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","BEAL2","Betula alleghaniensis Britton","species","Betulaceae","N",,,,,,"Y",,"0000-0002-1260-7286","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"92f05cbe-d3c9-4905-a7bd-52a63720f209","UNDE_038.basePlot.div","D05","UNDE",46.232249,-89.534573,"WGS84",20.25,505.5,0.4,"tower","woodyWetlands","UNDE_038","32","2022-06-01",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","COCO6","Corylus cornuta Marshall","species","Betulaceae","N",,,,,,"Y",,"0000-0002-1260-7286","0000-0002-1260-7286","OK",,"OK - no known exceptions"
"6c922f43-feb0-47b7-ba3e-35fd6ebafbed","UNDE_038.basePlot.div","D05","UNDE",46.232249,-89.534573,"WGS84",20.25,505.5,0.4,"tower","woodyWetlands","UNDE_038","41","2022-06-01",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","THOC2","Thuja occidentalis L.","species","Cupressaceae","N",,,,,,"Y",,"0000-0002-1260-7286","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"f06de69e-f2a5-42b1-8208-f074c49e77be","UNDE_038.basePlot.div","D05","UNDE",46.232249,-89.534573,"WGS84",20.25,505.5,0.4,"tower","woodyWetlands","UNDE_038","32.2.10","2022-06-01",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","DRCA11","Dryopteris carthusiana (Vill.) H.P. Fuchs","species","Dryopteridaceae","N",,,,,,"Y",,"0000-0002-1260-7286","0000-0002-1260-7286","OK",,"OK - no known exceptions"
"9c44d94a-d0ab-4273-9643-98803c285447","UNDE_038.basePlot.div","D05","UNDE",46.232249,-89.534573,"WGS84",20.25,505.5,0.4,"tower","woodyWetlands","UNDE_038","31","2022-06-01",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","CAMAI2","Carex magellanica Lam. ssp. irrigua (Wahlenb.) Hultén","subspecies","Cyperaceae","N",,,,,,"Y",,"0000-0002-1260-7286","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"2234ddb0-e26a-49bc-b1ec-e331a47f8064","UNDE_038.basePlot.div","D05","UNDE",46.232249,-89.534573,"WGS84",20.25,505.5,0.4,"tower","woodyWetlands","UNDE_038","41.4.10","2022-06-01",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","TRBO2","Trientalis borealis Raf.","species","Primulaceae","N",,,,,,"Y",,"0000-0002-1260-7286","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"e537464b-0e91-4ad3-b7f4-e963497a5557","UNDE_038.basePlot.div","D05","UNDE",46.232249,-89.534573,"WGS84",20.25,505.5,0.4,"tower","woodyWetlands","UNDE_038","31","2022-06-01",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","LEGR","Ledum groenlandicum Oeder","species","Ericaceae","N",,,,,,"Y",,"0000-0002-1260-7286","0000-0002-6190-2839","OK",,"OK - no known exceptions"
"721b136d-83d6-45b8-a8b7-3a8359e54d72","UNDE_038.basePlot.div","D05","UNDE",46.232249,-89.534573,"WGS84",20.25,505.5,0.4,"tower","woodyWetlands","UNDE_038","41","2022-06-01",1,"UNDE.1.2022","NEON.DOC.014042vM","Y","ILVE","Ilex verticillata (L.) A. Gray","species","Aquifoliaceae","N",,,,,,"Y",,"0000-0002-1260-7286","0000-0002-6190-2839","OK",,"OK - no known exceptions"
