Family,Avg Percent Cover Across Species
Asteraceae,1.2439024390243902
Poaceae,4.7073170731707314
Fabaceae,2.9166666666666665
Anacardiaceae,12.1875
Linaceae,0.5
Cistaceae,0.7857142857142857
Euphorbiaceae,0.5714285714285714
Cyperaceae,4.0
Geraniaceae,0.5
Gentianaceae,0.5
Rubiaceae,1.6333333333333333
Plantaginaceae,0.5
Boraginaceae,0.5
Oxalidaceae,0.7777777777777778
Malvaceae,0.75
Onagraceae,0.6666666666666666
Scrophulariaceae,1.25
Fagaceae,6.375
Ulmaceae,9.846153846153847
Rosaceae,2.6666666666666665
Vitaceae,2.625
Polygalaceae,1.0
Clusiaceae,0.5
Caprifoliaceae,8.7
Smilacaceae,10.25
Solanaceae,0.625
Sapotaceae,0.5
Cupressaceae,1.0
Saxifragaceae,0.5
Moraceae,0.5
Verbenaceae,10.0
