Family,Avg Percent Cover Across Species
Rhamnaceae,3.125
Bignoniaceae,1.375
Myrtaceae,7.571428571428571
Bromeliaceae,2.0
Acanthaceae,3.0
Euphorbiaceae,9.986842105263158
Theophrastaceae,5.5
Combretaceae,35.75
Rutaceae,2.0625
Passifloraceae,1.0
Sterculiaceae,2.5
Rubiaceae,7.333333333333333
Fabaceae,2.375
Burseraceae,3.625
Convolvulaceae,2.3333333333333335
Celastraceae,2.8333333333333335
Nyctaginaceae,9.333333333333334
Vitaceae,2.5
Asteraceae,0.6666666666666666
Zygophyllaceae,7.6
Malpighiaceae,2.1
Cactaceae,0.75
Commelinaceae,3.0
Capparaceae,5.0
Boraginaceae,2.5
Malvaceae,6.625
Cyperaceae,2.1
Polygonaceae,5.5
Sapindaceae,10.5
Turneraceae,4.5
Orchidaceae,4.0
Verbenaceae,2.0
