Family,Avg Percent Cover Across Species
Poaceae,5.942168674698795
Asteraceae,2.2572815533980584
Santalaceae,2.5
Solanaceae,0.5625
Fabaceae,2.069105691056911
Cuscutaceae,0.75
Rhamnaceae,3.04
Lamiaceae,1.1935483870967742
Asclepiadaceae,0.5166666666666667
Euphorbiaceae,0.5895522388059702
Verbenaceae,0.75
Oxalidaceae,0.5
Cyperaceae,0.82
Acanthaceae,0.6724137931034483
Rosaceae,2.5925925925925926
Rubiaceae,0.9333333333333333
Violaceae,0.5416666666666666
Anacardiaceae,4.2272727272727275
Cornaceae,12.48076923076923
Boraginaceae,0.54
Polygalaceae,0.5
Linaceae,0.5
Caprifoliaceae,2.375
Rutaceae,1.8333333333333333
Smilacaceae,1.75
Cupressaceae,0.5
Ulmaceae,2.267857142857143
Brassicaceae,0.5
Apocynaceae,5.0
Ophioglossaceae,0.5
Fagaceae,4.583333333333333
Vitaceae,3.5454545454545454
Polygonaceae,1.0
Juglandaceae,3.75
Celastraceae,2.4
Onagraceae,0.5
Apiaceae,0.5
Grossulariaceae,3.25
Convolvulaceae,0.8
Scrophulariaceae,1.0
Nyctaginaceae,0.5
