Family,Avg Percent Cover Across Species
Cyperaceae,2.0757575757575757
Poaceae,2.6739130434782608
Caryophyllaceae,1.7045454545454546
Salicaceae,7.25
Saxifragaceae,0.5
Fabaceae,0.5
Polemoniaceae,0.6
Rosaceae,4.379310344827586
Liliaceae,0.5
Polygonaceae,0.75
Juncaceae,6.2
Portulacaceae,0.5833333333333334
Ranunculaceae,1.125
Apiaceae,0.6666666666666666
Brassicaceae,0.5
Asteraceae,1.4913793103448276
Selaginellaceae,4.285714285714286
Scrophulariaceae,1.05
Crassulaceae,0.5909090909090909
Boraginaceae,0.5
Primulaceae,1.6
Campanulaceae,0.6363636363636364
Pinaceae,21.642857142857142
Cupressaceae,1.75
Onagraceae,3.0
Ericaceae,13.538461538461538
Pyrolaceae,0.5
