Family,Avg Percent Cover Across Species
Poaceae,8.578125
Fabaceae,9.660714285714286
Rosaceae,6.068181818181818
Asteraceae,6.673076923076923
Caprifoliaceae,7.264705882352941
Bignoniaceae,23.0
Cyperaceae,4.0
Anacardiaceae,19.0
Passifloraceae,2.5
Ulmaceae,2.25
Cucurbitaceae,0.5
Smilacaceae,2.0
Rubiaceae,0.6666666666666666
Scrophulariaceae,1.0
Euphorbiaceae,1.5
Solanaceae,1.4375
Oxalidaceae,0.5
Clusiaceae,6.0
Geraniaceae,0.5
Liliaceae,0.5
Apiaceae,1.0
Ebenaceae,9.5
Celastraceae,5.0
Verbenaceae,2.0
Violaceae,0.5
Phytolaccaceae,7.25
Cornaceae,0.5
Caryophyllaceae,0.5
Polygonaceae,0.5
Plantaginaceae,0.5
