Family,Avg Percent Cover Across Species
Annonaceae,1.8
Fabaceae,0.9666666666666667
Asteraceae,1.0217391304347827
Poaceae,2.8189655172413794
Chrysobalanaceae,8.4
Cyperaceae,0.6923076923076923
Asclepiadaceae,0.5
Convolvulaceae,4.666666666666667
Fagaceae,8.0
Ericaceae,6.0
Polygonaceae,1.125
Commelinaceae,0.5
Bromeliaceae,3.5
Acanthaceae,0.8333333333333334
Rubiaceae,0.5
Apocynaceae,0.5
Euphorbiaceae,1.2
Aristolochiaceae,0.5
Ebenaceae,1.8333333333333333
Dennstaedtiaceae,0.5
Smilacaceae,0.5
Juglandaceae,0.5
Vitaceae,8.4
Loganiaceae,1.3333333333333333
