Family,Avg Percent Cover Across Species
Dicksoniaceae,15.827586206896552
Myrsinaceae,2.25
Rubiaceae,3.161764705882353
Apocynaceae,1.6875
Myrtaceae,3.8359375
Dryopteridaceae,8.564102564102564
Rutaceae,0.875
Ericaceae,0.8424657534246576
Epacridaceae,4.205882352941177
Araliaceae,1.2564102564102564
Cyperaceae,1.2222222222222223
Aquifoliaceae,1.7619047619047619
Lycopodiaceae,5.0
Juncaceae,0.5
Gleicheniaceae,24.466666666666665
Grammitidaceae,0.5
Blechnaceae,10.842105263157896
Poaceae,5.35
Campanulaceae,3.0
Asteraceae,1.5
Hydrangeaceae,5.388888888888889
Rosaceae,1.5454545454545454
Liliaceae,1.5
Thelypteridaceae,8.944444444444445
Hymenophyllaceae,1.537037037037037
Piperaceae,0.7857142857142857
Loganiaceae,0.5
Pteridaceae,0.5
Pandanaceae,0.75
Lamiaceae,0.5
Aspleniaceae,0.5
Geraniaceae,0.5
Polypodiaceae,2.0
Melastomataceae,0.5
