Family,Avg Percent Cover Across Species
Brassicaceae,0.7777777777777778
Poaceae,2.112
Fabaceae,2.2666666666666666
Asteraceae,1.5734265734265733
Polemoniaceae,0.5131578947368421
Ulmaceae,70.0
Convolvulaceae,0.52
Rubiaceae,0.5
Onagraceae,0.5285714285714286
Boraginaceae,0.5130434782608696
Malvaceae,0.5
Malpighiaceae,3.0
Sterculiaceae,0.5
Apiaceae,0.5
Cactaceae,4.648148148148148
Liliaceae,0.5
Euphorbiaceae,0.5
Zygophyllaceae,16.5
Primulaceae,0.5
Caryophyllaceae,0.55
Urticaceae,1.0
Hydrophyllaceae,0.5
Crassulaceae,0.5
Oleaceae,0.5
Plantaginaceae,0.5
Linaceae,1.0
Polygonaceae,0.5
Chenopodiaceae,0.5
Solanaceae,0.5
Krameriaceae,1.0
Nyctaginaceae,0.5
Verbenaceae,0.5
Ephedraceae,2.25
Acanthaceae,0.5416666666666666
Amaranthaceae,0.5
Scrophulariaceae,0.5
