Family,Avg Percent Cover Across Species
Smilacaceae,1.6642857142857144
Cyperaceae,1.5609756097560976
Loganiaceae,3.0476190476190474
Aceraceae,2.6363636363636362
Ericaceae,6.702898550724638
Fagaceae,4.613924050632911
Liliaceae,3.25
Pinaceae,5.782608695652174
Poaceae,6.509478672985782
Lamiaceae,0.8611111111111112
Vitaceae,9.2
Dryopteridaceae,5.5
Rubiaceae,1.631578947368421
Aristolochiaceae,0.92
Thelypteridaceae,18.166666666666668
Rosaceae,3.3541666666666665
Symplocaceae,11.0
Magnoliaceae,3.261904761904762
Osmundaceae,11.3
Fabaceae,2.75
Aquifoliaceae,2.875
Bignoniaceae,1.1666666666666667
Ebenaceae,9.038461538461538
Blechnaceae,7.5
Anacardiaceae,6.594594594594595
Cornaceae,2.9545454545454546
Hamamelidaceae,16.204545454545453
Oxalidaceae,0.5882352941176471
Juglandaceae,6.4375
Asteraceae,1.6592178770949721
Clusiaceae,0.8125
Passifloraceae,1.25
Verbenaceae,6.3
Violaceae,0.5
Acanthaceae,0.7727272727272727
Celastraceae,2.0
Euphorbiaceae,0.7575757575757576
Convolvulaceae,1.5
Apiaceae,0.625
Lauraceae,2.2666666666666666
Agavaceae,6.0
Campanulaceae,0.625
Dioscoreaceae,2.0
Caprifoliaceae,1.0
Ulmaceae,2.0
Dennstaedtiaceae,4.260869565217392
Araliaceae,0.5
Moraceae,1.0
Annonaceae,2.0
Ophioglossaceae,0.75
Myricaceae,8.75
Scrophulariaceae,14.166666666666666
Rhamnaceae,1.0
Illiciaceae,2.0
