Family,Avg Percent Cover Across Species
Caprifoliaceae,4.428571428571429
Rosaceae,1.28125
Liliaceae,1.7647058823529411
Pyrolaceae,1.1666666666666667
Ranunculaceae,4.75
Oleaceae,1.6875
Grossulariaceae,8.0
Primulaceae,1.5
Betulaceae,31.333333333333332
Pinaceae,3.625
Onagraceae,0.6111111111111112
Orchidaceae,0.5
Asteraceae,1.9444444444444444
Salicaceae,0.5
Aceraceae,2.7941176470588234
Cyperaceae,2.660377358490566
Cupressaceae,0.5
Clusiaceae,1.0
Monotropaceae,0.5
Cornaceae,4.625
Polygonaceae,1.5
Osmundaceae,34.5
Poaceae,2.25
Rubiaceae,0.8
Lamiaceae,4.25
Violaceae,2.0
Dryopteridaceae,12.5
Thelypteridaceae,13.6
Dennstaedtiaceae,13.0
Scrophulariaceae,0.5
Thymelaeaceae,8.0
Oxalidaceae,5.75
Araceae,5.583333333333333
Lycopodiaceae,3.0
Iridaceae,0.5
Equisetaceae,3.0
Droseraceae,0.5
Ericaceae,1.75
Sparganiaceae,8.0
Apiaceae,0.5
Saxifragaceae,1.0
Balsaminaceae,6.0
Brassicaceae,0.5
