Family,Avg Percent Cover Across Species
Asclepiadaceae,1.46
Polygonaceae,4.888888888888889
Poaceae,11.626288659793815
Asteraceae,4.436567164179104
Fabaceae,5.3428571428571425
Rosaceae,3.026315789473684
Ranunculaceae,0.8076923076923077
Convolvulaceae,1.25
Cyperaceae,5.055555555555555
Campanulaceae,0.5
Rubiaceae,0.875
Violaceae,1.0
Caprifoliaceae,7.375
Boraginaceae,0.5
Onagraceae,1.0
Primulaceae,1.0
Lamiaceae,7.3
Typhaceae,56.38095238095238
Juncaceae,4.125
Lemnaceae,81.0
Elaeagnaceae,3.6666666666666665
Solanaceae,0.5
Chenopodiaceae,5.333333333333333
Plantaginaceae,18.0
