Family,Avg Percent Cover Across Species
Scrophulariaceae,0.5
Asteraceae,2.559479553903346
Geraniaceae,1.6666666666666667
Crassulaceae,0.5
Polygonaceae,1.5333333333333334
Polemoniaceae,0.6973684210526315
Poaceae,0.801762114537445
Rosaceae,2.3444444444444446
Santalaceae,1.0
Onagraceae,2.8421052631578947
Caprifoliaceae,2.5416666666666665
Cupressaceae,9.35
Berberidaceae,0.9090909090909091
Fabaceae,1.1727272727272726
Saxifragaceae,0.5
Violaceae,0.5
Valerianaceae,0.5
Grossulariaceae,21.166666666666668
Rubiaceae,0.5
Boraginaceae,0.6875
Caryophyllaceae,0.5
Ranunculaceae,3.7
Campanulaceae,0.5
Ericaceae,20.5
Pinaceae,31.384615384615383
Cyperaceae,1.3269230769230769
Linaceae,0.5
Brassicaceae,0.5
Juncaceae,0.5
Equisetaceae,0.5
Liliaceae,0.6
Selaginellaceae,15.333333333333334
Chenopodiaceae,0.5
Apiaceae,0.5
Pyrolaceae,0.5
Elaeagnaceae,1.5
Dryopteridaceae,0.5
Salicaceae,7.0
