uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"5bc50bdc-c2ff-4b5e-86ec-49f73f7d094b","OSBS_067.basePlot.div","D03","OSBS",29.690932,-81.975904,"WGS84",20.10,28.5,0.1,"distributed","mixedForest","OSBS_067","31.1.1","2022-10-04",1,"OSBS.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"lichen",0.50,,,,"0000-0001-5833-8133","0000-0003-0743-8788","OK",,"OK - no known exceptions"
"56438bb3-ec14-44a5-b982-556af6add080","OSBS_007.basePlot.div","D03","OSBS",29.690279,-81.962568,"WGS84",20.12,33.4,0.2,"distributed","deciduousForest","OSBS_007","41.4.1","2022-10-04",1,"OSBS.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","ASIN12","Asimina incana (W. Bartram) Exell","species","Annonaceae","N",,,,,,,1.00,"N",,,"0000-0001-5833-8133","0000-0003-0743-8788","OK",,"OK - no known exceptions"
"3b737f1a-6921-451e-870b-148dd1155f83","OSBS_067.basePlot.div","D03","OSBS",29.690932,-81.975904,"WGS84",20.10,28.5,0.1,"distributed","mixedForest","OSBS_067","32.4.1","2022-10-04",1,"OSBS.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"litter",56.00,,,,"0000-0003-0836-969X","0000-0002-5948-2855","OK",,"OK - no known exceptions"
"af6932f8-53c7-4c40-a311-7c6332ed7469","OSBS_007.basePlot.div","D03","OSBS",29.690279,-81.962568,"WGS84",20.12,33.4,0.2,"distributed","deciduousForest","OSBS_007","31.1.1","2022-10-04",1,"OSBS.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","GAER","Galactia erecta (Walter) Vail","species","Fabaceae","N","cf. genus",,,,,,0.50,"N",,,"0000-0001-5833-8133","0000-0003-0743-8788","OK",,"OK - no known exceptions"
"0982e3b2-cc90-4516-91cf-81e70a5fd0e2","OSBS_007.basePlot.div","D03","OSBS",29.690279,-81.962568,"WGS84",20.12,33.4,0.2,"distributed","deciduousForest","OSBS_007","31.1.1","2022-10-04",1,"OSBS.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","GARE2","Galactia regularis (L.) Britton, Sterns & Poggenb.","species","Fabaceae","N",,,,,,,0.50,"N",,,"0000-0001-5833-8133","0000-0003-0743-8788","OK",,"OK - no known exceptions"
"c8715727-edf1-4e3c-b70b-d93584e45cbe","OSBS_007.basePlot.div","D03","OSBS",29.690279,-81.962568,"WGS84",20.12,33.4,0.2,"distributed","deciduousForest","OSBS_007","31.1.1","2022-10-04",1,"OSBS.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"lichen",0.50,,,,"0000-0001-5833-8133","0000-0003-0743-8788","OK",,"OK - no known exceptions"
"2cacd56e-13fb-40ea-955a-fe59afc217c5","OSBS_007.basePlot.div","D03","OSBS",29.690279,-81.962568,"WGS84",20.12,33.4,0.2,"distributed","deciduousForest","OSBS_007","32.4.1","2022-10-04",1,"OSBS.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"wood",1.00,,,,"0000-0002-5948-2855","0000-0003-0836-969X","OK",,"OK - no known exceptions"
"91e37755-da05-46c7-aa30-e61fd87b509a","OSBS_007.basePlot.div","D03","OSBS",29.690279,-81.962568,"WGS84",20.12,33.4,0.2,"distributed","deciduousForest","OSBS_007","41.4.1","2022-10-04",1,"OSBS.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","AGJU2","Ageratina jucunda (Greene) Clewell & Woot.","species","Asteraceae","N",,,,,,,0.50,"N",,,"0000-0001-5833-8133","0000-0003-0743-8788","OK",,"OK - no known exceptions"
"90a79948-afa4-489e-b175-d9daab208a34","OSBS_067.basePlot.div","D03","OSBS",29.690932,-81.975904,"WGS84",20.10,28.5,0.1,"distributed","mixedForest","OSBS_067","32.4.1","2022-10-04",1,"OSBS.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","TRAM7","Triplasis americana P. Beauv.","species","Poaceae","N",,,,,,,1.00,"N",,,"0000-0003-0836-969X","0000-0002-5948-2855","OK",,"OK - no known exceptions"
"04716075-b62b-46e0-8db9-e233d1bd2872","OSBS_067.basePlot.div","D03","OSBS",29.690932,-81.975904,"WGS84",20.10,28.5,0.1,"distributed","mixedForest","OSBS_067","31.1.1","2022-10-04",1,"OSBS.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"standingDeadWoody",0.50,,,,"0000-0001-5833-8133","0000-0003-0743-8788","OK",,"OK - no known exceptions"
