uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"7b555edc-304d-465c-8313-ae85850f8c22","YELL_005.basePlot.div","D12","YELL",44.948383,-110.631377,"WGS84",20.10,2112.0,0.1,"distributed","shrubScrub","YELL_005","32.2.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
"76e41f8d-2d4b-4669-8fee-899456a9b094","YELL_008.basePlot.div","D12","YELL",44.959683,-110.613808,"WGS84",20.10,2200.2,0.2,"distributed","shrubScrub","YELL_008","41.4.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
"b08d0654-a0f1-4b54-9ec4-8d4a0584c1cc","YELL_022.basePlot.div","D12","YELL",44.938373,-110.432189,"WGS84",20.10,1920.2,0.1,"distributed","evergreenForest","YELL_022","32.2.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
"64a83e30-9d2d-4bc6-a604-a466f9b88526","YELL_025.basePlot.div","D12","YELL",44.966541,-110.503423,"WGS84",20.10,2024.6,0.1,"distributed","grasslandHerbaceous","YELL_025","32.2.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
"f9e9f670-5b09-47cb-8b4b-0f7c9ef68a70","YELL_015.basePlot.div","D12","YELL",44.919496,-110.383350,"WGS84",20.10,1894.4,0.1,"distributed","shrubScrub","YELL_015","31.1.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
"49bb76c4-1f09-43f9-ba15-a9896221db4f","YELL_002.basePlot.div","D12","YELL",44.932467,-110.634896,"WGS84",20.01,2125.1,0.0,"distributed","shrubScrub","YELL_002","41.4.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
"e794b531-40d5-4f0c-8980-948c0d473890","YELL_022.basePlot.div","D12","YELL",44.938373,-110.432189,"WGS84",20.10,1920.2,0.1,"distributed","evergreenForest","YELL_022","40.3.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
"1cc39c46-9b7f-46e4-90d0-d06b72bdf4ff","YELL_007.basePlot.div","D12","YELL",44.917831,-110.428945,"WGS84",20.17,2084.2,0.3,"distributed","shrubScrub","YELL_007","41.4.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
"cbe2e534-d119-4bf7-a9df-b3eb887581eb","YELL_012.basePlot.div","D12","YELL",44.944613,-110.433659,"WGS84",20.29,1901.5,0.3,"distributed","evergreenForest","YELL_012","40.1.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
"7aee3cc2-c3bb-43a5-89cc-6dd3ed2b21e4","YELL_014.basePlot.div","D12","YELL",44.966980,-110.618703,"WGS84",20.10,2240.7,0.1,"distributed","shrubScrub","YELL_014","32.2.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
"e0c2d48d-6f40-47a8-a8c2-e55336f5ce59","YELL_008.basePlot.div","D12","YELL",44.959683,-110.613808,"WGS84",20.10,2200.2,0.2,"distributed","shrubScrub","YELL_008","40.1.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
"1f199e74-e073-4c7d-b5ec-6e8443866ff0","YELL_014.basePlot.div","D12","YELL",44.966980,-110.618703,"WGS84",20.10,2240.7,0.1,"distributed","shrubScrub","YELL_014","40.3.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
"87e586af-ab4f-4683-937f-c81063818491","YELL_022.basePlot.div","D12","YELL",44.938373,-110.432189,"WGS84",20.10,1920.2,0.1,"distributed","evergreenForest","YELL_022","32.4.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
"12d84daf-5db3-4010-93b2-acdc4fb81d7d","YELL_016.basePlot.div","D12","YELL",44.965771,-110.583711,"WGS84",20.01,2046.8,0.0,"distributed","grasslandHerbaceous","YELL_016","31.1.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
"c73b958d-5602-4478-b190-bf35a55009ba","YELL_019.basePlot.div","D12","YELL",44.955431,-110.494795,"WGS84",20.10,2153.0,0.1,"distributed","grasslandHerbaceous","YELL_019","31.1.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
"1299056c-21b0-4caf-9876-f9903aa6985a","YELL_013.basePlot.div","D12","YELL",44.972918,-110.542179,"WGS84",20.10,2031.5,0.1,"distributed","shrubScrub","YELL_013","41.4.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
"38433fbb-4b5b-4e8f-8521-6bff64d3b46e","YELL_025.basePlot.div","D12","YELL",44.966541,-110.503423,"WGS84",20.10,2024.6,0.1,"distributed","grasslandHerbaceous","YELL_025","40.1.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
"ffa65930-6f6f-4046-82f2-5f05dae4d154","YELL_017.basePlot.div","D12","YELL",44.936155,-110.418537,"WGS84",20.10,1919.6,0.1,"distributed","shrubScrub","YELL_017","32.4.1","2022-06-22",1,"YELL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-3973-0882",,"logistical","all access to YNP closed due to flooding hazard",
