uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"63988120-2547-4846-a66f-33dce5bde4df","TOOL_041.basePlot.div","D18","TOOL",68.666666,-149.369752,"WGS84",20.10,827.4,0.1,"tower","sedgeHerbaceous","TOOL_041","40.3.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"lichen",24.00,,,,"0000-0003-1678-1246","0000-0002-1140-7004","OK",,"OK - no known exceptions"
"4b71623d-2f38-4b3b-98cf-c2acff0cffa1","TOOL_042.basePlot.div","D18","TOOL",68.664072,-149.381292,"WGS84",20.22,805.4,0.2,"tower","sedgeHerbaceous","TOOL_042","40.3.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"lichen",1.00,,,,"0000-0003-2913-1517","0000-0003-3817-0550","OK",,"OK - no known exceptions"
"ebd8b1d8-1727-418c-ab5d-2c41e0e9daf9","TOOL_042.basePlot.div","D18","TOOL",68.664072,-149.381292,"WGS84",20.22,805.4,0.2,"tower","sedgeHerbaceous","TOOL_042","40.1.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","BEGL/BENA","Betula glandulosa/nana","speciesGroup","Betulaceae","N",,,,,"Hulten 1968",,4.00,"N",,,"0000-0003-2913-1517","0000-0003-3817-0550","OK",,"OK - no known exceptions"
"69fd092f-f203-49d2-8f57-6cfe9bf6eeb8","TOOL_041.basePlot.div","D18","TOOL",68.666666,-149.369752,"WGS84",20.10,827.4,0.1,"tower","sedgeHerbaceous","TOOL_041","32.4.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","DILA","Diapensia lapponica L.","species","Diapensiaceae","N",,,,,"Hulten 1968",,0.50,"N",,,"0000-0003-2913-1517","0000-0003-3817-0550","OK",,"OK - no known exceptions"
"884efb5d-b8bd-41da-b326-5cefdca437be","TOOL_043.basePlot.div","D18","TOOL",68.665514,-149.375519,"WGS84",20.25,821.6,0.2,"tower","sedgeHerbaceous","TOOL_043","40.3.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"standingDeadHerbaceous",5.00,,,,"0000-0003-1678-1246","0000-0002-1140-7004","OK",,"OK - no known exceptions"
"35d5c5f2-d2f5-45ad-9704-6eb79fcbdec6","TOOL_041.basePlot.div","D18","TOOL",68.666666,-149.369752,"WGS84",20.10,827.4,0.1,"tower","sedgeHerbaceous","TOOL_041","40.3.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","POBIP","Polygonum bistorta L. var. plumosum (Small) B. Boivin","variety","Polygonaceae","N",,,,,"http://www.floranorthamerica.org",,1.00,"N",,,"0000-0003-1678-1246","0000-0002-1140-7004","OK",,"OK - no known exceptions"
"d2726a98-45b3-4805-afbe-9fc2aed08eef","TOOL_043.basePlot.div","D18","TOOL",68.665514,-149.375519,"WGS84",20.25,821.6,0.2,"tower","sedgeHerbaceous","TOOL_043","32.4.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","ERVA4","Eriophorum vaginatum L.","species","Cyperaceae","N",,,,,,,12.00,"N",,,"0000-0003-1678-1246","0000-0002-1733-4950","OK",,"OK - no known exceptions"
"404784f9-9105-4c68-b998-a10a215ee31a","TOOL_041.basePlot.div","D18","TOOL",68.666666,-149.369752,"WGS84",20.10,827.4,0.1,"tower","sedgeHerbaceous","TOOL_041","41.4.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","ORSE","Orthilia secunda (L.) House","species","Pyrolaceae","N",,,,,,,0.50,"N",,,"0000-0003-1678-1246","0000-0002-2833-9853","OK",,"OK - no known exceptions"
"a56db596-d6ec-4c84-af02-9679f7071c83","TOOL_042.basePlot.div","D18","TOOL",68.664072,-149.381292,"WGS84",20.22,805.4,0.2,"tower","sedgeHerbaceous","TOOL_042","40.3.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","BEGL/BENA","Betula glandulosa/nana","speciesGroup","Betulaceae","N",,,,,"Hulten 1968",,3.00,"N",,,"0000-0003-2913-1517","0000-0003-3817-0550","OK",,"OK - no known exceptions"
"8156039b-dcf1-45f4-a859-d9cabd5659bd","TOOL_041.basePlot.div","D18","TOOL",68.666666,-149.369752,"WGS84",20.10,827.4,0.1,"tower","sedgeHerbaceous","TOOL_041","40.1.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"moss",30.00,,,,"0000-0003-1678-1246","0000-0002-1140-7004","OK",,"OK - no known exceptions"
"e36dbe01-c5bc-4632-91f6-95b186ec19f8","TOOL_041.basePlot.div","D18","TOOL",68.666666,-149.369752,"WGS84",20.10,827.4,0.1,"tower","sedgeHerbaceous","TOOL_041","40.3.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","PELA14","Pedicularis lanata Cham. & Schltdl.","species","Scrophulariaceae","N",,,,,"Hulten 1968",,1.00,"N",,,"0000-0003-1678-1246","0000-0002-1140-7004","OK",,"OK - no known exceptions"
"0333a83b-1b72-4b04-b3be-eb0ade357c30","TOOL_041.basePlot.div","D18","TOOL",68.666666,-149.369752,"WGS84",20.10,827.4,0.1,"tower","sedgeHerbaceous","TOOL_041","41.4.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"litter",3.00,,,,"0000-0003-1678-1246","0000-0002-2833-9853","OK",,"OK - no known exceptions"
"418b0677-0f1e-47ae-b27a-429ae4edf460","TOOL_042.basePlot.div","D18","TOOL",68.664072,-149.381292,"WGS84",20.22,805.4,0.2,"tower","sedgeHerbaceous","TOOL_042","40.1.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","VAVI","Vaccinium vitis-idaea L.","species","Ericaceae","N",,,,,"Hulten 1968",,8.00,"N",,,"0000-0003-2913-1517","0000-0003-3817-0550","OK",,"OK - no known exceptions"
"7cc2343c-e939-415b-93f3-f0a25ab0ca37","TOOL_041.basePlot.div","D18","TOOL",68.666666,-149.369752,"WGS84",20.10,827.4,0.1,"tower","sedgeHerbaceous","TOOL_041","32.2.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","LOPR","Loiseleuria procumbens (L.) Desv.","species","Ericaceae","N",,,,,"Hulten 1968",,0.50,"N",,,"0000-0003-2913-1517","0000-0003-3817-0550","OK",,"OK - no known exceptions"
"07dda2ce-60c5-44ce-a546-e8acdb3ad33e","TOOL_042.basePlot.div","D18","TOOL",68.664072,-149.381292,"WGS84",20.22,805.4,0.2,"tower","sedgeHerbaceous","TOOL_042","40.1.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","ANPO","Andromeda polifolia L.","species","Ericaceae","N",,,,,"Hulten 1968",,0.50,"N",,,"0000-0003-2913-1517","0000-0003-3817-0550","OK",,"OK - no known exceptions"
"a0b531a0-8803-430f-89b8-71f0c8fb6e4a","TOOL_042.basePlot.div","D18","TOOL",68.664072,-149.381292,"WGS84",20.22,805.4,0.2,"tower","sedgeHerbaceous","TOOL_042","32.2.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","PELA4","Pedicularis lapponica L.","species","Scrophulariaceae","N",,,,,,,0.50,"N",,,"0000-0003-2913-1517","0000-0002-2833-9853","OK",,"OK - no known exceptions"
"cbbe31da-c688-4329-8509-54ab49c151cb","TOOL_041.basePlot.div","D18","TOOL",68.666666,-149.369752,"WGS84",20.10,827.4,0.1,"tower","sedgeHerbaceous","TOOL_041","41.4.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","VAUL","Vaccinium uliginosum L.","species","Ericaceae","N",,,,,,,1.00,"N",,,"0000-0003-1678-1246","0000-0002-2833-9853","OK",,"OK - no known exceptions"
"7fb9d2ba-9fad-4d9b-a543-1f980d5702f3","TOOL_042.basePlot.div","D18","TOOL",68.664072,-149.381292,"WGS84",20.22,805.4,0.2,"tower","sedgeHerbaceous","TOOL_042","32.2.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","LEPA11","Ledum palustre L.","species","Ericaceae","N",,,,,,,11.00,"N",,,"0000-0003-2913-1517","0000-0002-2833-9853","OK",,"OK - no known exceptions"
"e90aacf6-86ca-4c69-b923-dcbd1920935f","TOOL_043.basePlot.div","D18","TOOL",68.665514,-149.375519,"WGS84",20.25,821.6,0.2,"tower","sedgeHerbaceous","TOOL_043","32.4.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","ANPO","Andromeda polifolia L.","species","Ericaceae","N",,,,,,,0.50,"N",,,"0000-0003-1678-1246","0000-0002-1733-4950","OK",,"OK - no known exceptions"
"f00f55cc-d416-4382-8b9b-512410bd2ba6","TOOL_043.basePlot.div","D18","TOOL",68.665514,-149.375519,"WGS84",20.25,821.6,0.2,"tower","sedgeHerbaceous","TOOL_043","31.1.1","2022-07-12",1,"TOOL.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"lichen",2.00,,,,"0000-0003-1678-1246","0000-0002-1733-4950","OK",,"OK - no known exceptions"
