uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"5fed710c-fc48-462e-a073-fc6944bfb0b5","TALL_029.basePlot.div","D08","TALL",32.901599,-87.432036,"WGS84",20.10,120.3,0.1,"distributed","mixedForest","TALL_029","41.4.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"19403ddf-66f6-49ee-b3c3-0df276631319","TALL_026.basePlot.div","D08","TALL",32.899916,-87.449049,"WGS84",20.21,103.0,0.2,"distributed","evergreenForest","TALL_026","31.1.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"1cd6f82d-4387-4344-82a6-15c1af13db08","TALL_064.basePlot.div","D08","TALL",32.959807,-87.425248,"WGS84",20.11,96.3,0.2,"distributed","mixedForest","TALL_064","41.4.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"be33e3e4-a812-465a-aee0-0a92fa7052c0","TALL_032.basePlot.div","D08","TALL",32.910318,-87.420834,"WGS84",20.28,120.4,0.4,"distributed","mixedForest","TALL_032","32.2.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"21f8c1f7-32c3-4646-ba47-5c3409b3e9f5","TALL_027.basePlot.div","D08","TALL",32.891309,-87.431342,"WGS84",20.16,93.0,0.2,"distributed","deciduousForest","TALL_027","40.3.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"45ed7013-387c-459c-aa9f-8ae87dfc8758","TALL_023.basePlot.div","D08","TALL",32.929576,-87.411967,"WGS84",20.14,110.9,0.2,"distributed","deciduousForest","TALL_023","40.1.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"dbcc09b3-c065-47d1-816e-ac7d43b1051a","TALL_027.basePlot.div","D08","TALL",32.891309,-87.431342,"WGS84",20.16,93.0,0.2,"distributed","deciduousForest","TALL_027","41.4.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"3430a8d5-a665-4a8c-8c90-feddf34f72ff","TALL_024.basePlot.div","D08","TALL",32.924117,-87.421562,"WGS84",20.27,128.3,0.4,"distributed","deciduousForest","TALL_024","40.3.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"9ef53c6d-d6f2-4cc3-a316-5597ca92f70c","TALL_029.basePlot.div","D08","TALL",32.901599,-87.432036,"WGS84",20.10,120.3,0.1,"distributed","mixedForest","TALL_029","40.1.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"3c103078-7fce-4245-ab24-0b1b61cb7258","TALL_023.basePlot.div","D08","TALL",32.929576,-87.411967,"WGS84",20.14,110.9,0.2,"distributed","deciduousForest","TALL_023","32.2.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"6725d9e4-fcd2-4187-b0cf-72fe8720483d","TALL_026.basePlot.div","D08","TALL",32.899916,-87.449049,"WGS84",20.21,103.0,0.2,"distributed","evergreenForest","TALL_026","41.4.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"63c2ec4d-b45e-4697-96d3-d3aba24d7814","TALL_027.basePlot.div","D08","TALL",32.891309,-87.431342,"WGS84",20.16,93.0,0.2,"distributed","deciduousForest","TALL_027","32.4.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"898159f2-3072-4465-9936-995e26018fb7","TALL_024.basePlot.div","D08","TALL",32.924117,-87.421562,"WGS84",20.27,128.3,0.4,"distributed","deciduousForest","TALL_024","41.4.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"6fe50fdb-2122-48e0-9b3f-6f53caab56af","TALL_020.basePlot.div","D08","TALL",32.955991,-87.426830,"WGS84",20.12,126.2,0.1,"distributed","evergreenForest","TALL_020","31.1.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"931682c7-4774-45ea-9440-529baf57b8f7","TALL_020.basePlot.div","D08","TALL",32.955991,-87.426830,"WGS84",20.12,126.2,0.1,"distributed","evergreenForest","TALL_020","41.4.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"4d0b7a19-207e-4d1c-895f-9eadcd756ddf","TALL_064.basePlot.div","D08","TALL",32.959807,-87.425248,"WGS84",20.11,96.3,0.2,"distributed","mixedForest","TALL_064","32.4.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"4600eb45-b2f3-4e92-914a-187af1a9c042","TALL_024.basePlot.div","D08","TALL",32.924117,-87.421562,"WGS84",20.27,128.3,0.4,"distributed","deciduousForest","TALL_024","32.4.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"d1fcf62c-16ef-4d99-9aa1-32431982530d","TALL_026.basePlot.div","D08","TALL",32.899916,-87.449049,"WGS84",20.21,103.0,0.2,"distributed","evergreenForest","TALL_026","40.3.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"6dc6fdab-19e2-462f-b529-3c8b15c68474","TALL_029.basePlot.div","D08","TALL",32.901599,-87.432036,"WGS84",20.10,120.3,0.1,"distributed","mixedForest","TALL_029","32.4.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"c13539ce-17e3-41d1-9664-25af57c39c9f","TALL_032.basePlot.div","D08","TALL",32.910318,-87.420834,"WGS84",20.28,120.4,0.4,"distributed","mixedForest","TALL_032","40.3.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"cdc3cfb4-0e49-4d61-a121-056c06d3f126","TALL_027.basePlot.div","D08","TALL",32.891309,-87.431342,"WGS84",20.16,93.0,0.2,"distributed","deciduousForest","TALL_027","31.1.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"7e871e33-fe9c-4b60-9ceb-2b6fe8985f03","TALL_064.basePlot.div","D08","TALL",32.959807,-87.425248,"WGS84",20.11,96.3,0.2,"distributed","mixedForest","TALL_064","40.1.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"48ab268b-524d-462e-9415-831309ccbf2a","TALL_026.basePlot.div","D08","TALL",32.899916,-87.449049,"WGS84",20.21,103.0,0.2,"distributed","evergreenForest","TALL_026","32.2.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"7628eacc-b6e3-4be0-9f95-75ccccbe773c","TALL_023.basePlot.div","D08","TALL",32.929576,-87.411967,"WGS84",20.14,110.9,0.2,"distributed","deciduousForest","TALL_023","40.3.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"5685f455-598f-4b39-9b3d-189fea032fd4","TALL_027.basePlot.div","D08","TALL",32.891309,-87.431342,"WGS84",20.16,93.0,0.2,"distributed","deciduousForest","TALL_027","32.2.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"07b69778-a569-41dc-a7ee-f6b3380c3638","TALL_020.basePlot.div","D08","TALL",32.955991,-87.426830,"WGS84",20.12,126.2,0.1,"distributed","evergreenForest","TALL_020","40.3.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"b8ede9db-3e3c-4670-a614-0d1aa97a36ba","TALL_032.basePlot.div","D08","TALL",32.910318,-87.420834,"WGS84",20.28,120.4,0.4,"distributed","mixedForest","TALL_032","40.1.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"e9198e81-93ef-4bf9-8623-a831ae2bed3b","TALL_032.basePlot.div","D08","TALL",32.910318,-87.420834,"WGS84",20.28,120.4,0.4,"distributed","mixedForest","TALL_032","32.4.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
"07882d5c-876d-4337-8823-c5cc5f1297ca","TALL_023.basePlot.div","D08","TALL",32.929576,-87.411967,"WGS84",20.14,110.9,0.2,"distributed","deciduousForest","TALL_023","31.1.1","2022-10-16",1,"TALL.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-7717-279X",,"logistical",,
