uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"72108f96-8277-4dd1-abaf-2694df7d1560","PUUM_034.basePlot.div","D20","PUUM",19.549124,-155.312265,"WGS84",20.19,1646.6,0.2,"tower","evergreenForest","PUUM_034","40.3.1","2022-06-06",1,"PUUM.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","CIGL","Cibotium glaucum (Sm.) Hook. & Arn.","species","Dicksoniaceae","N",,,,,,,3.00,"Y",,,"0000-0003-1142-4215","0000-0003-3691-6662","OK",,"OK - no known exceptions"
"a39d834b-d2d8-4383-a0ca-6308d6551100","PUUM_034.basePlot.div","D20","PUUM",19.549124,-155.312265,"WGS84",20.19,1646.6,0.2,"tower","evergreenForest","PUUM_034","32.4.1","2022-06-06",1,"PUUM.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","2PLANT","Unknown plant","kingdom",,"UNK",,,,,,,0.50,"N",,,"0000-0003-1142-4215","0000-0003-3691-6662","OK",,"OK - no known exceptions"
"8ce5f8e1-a02e-4209-b63f-930c6df306d6","PUUM_034.basePlot.div","D20","PUUM",19.549124,-155.312265,"WGS84",20.19,1646.6,0.2,"tower","evergreenForest","PUUM_034","41.4.1","2022-06-06",1,"PUUM.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"moss",13.00,,,,"0000-0003-1142-4215","0000-0003-3691-6662","OK",,"OK - no known exceptions"
"1c4b8920-34ef-40fc-926b-29238a61bc5e","PUUM_034.basePlot.div","D20","PUUM",19.549124,-155.312265,"WGS84",20.19,1646.6,0.2,"tower","evergreenForest","PUUM_034","40.1.1","2022-06-06",1,"PUUM.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","MYSA2","Myrsine sandwicensis A. DC.","species","Myrsinaceae","N","cf. species",,,,,,0.50,"N",,"Seedling","0000-0003-1142-4215","0000-0003-3691-6662","OK",,"OK - no known exceptions"
"9ae89569-17ad-4d24-90d5-43708b8e0b2f","PUUM_034.basePlot.div","D20","PUUM",19.549124,-155.312265,"WGS84",20.19,1646.6,0.2,"tower","evergreenForest","PUUM_034","40.3.1","2022-06-06",1,"PUUM.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"lichen",0.50,,,,"0000-0003-1142-4215","0000-0003-3691-6662","OK",,"OK - no known exceptions"
"00c5bd91-0e36-411b-989c-bb8e9468e863","PUUM_034.basePlot.div","D20","PUUM",19.549124,-155.312265,"WGS84",20.19,1646.6,0.2,"tower","evergreenForest","PUUM_034","32.4.1","2022-06-06",1,"PUUM.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","COPRO","Coprosma sp.","genus","Rubiaceae","N",,,,,,,1.00,"Y",,,"0000-0003-1142-4215","0000-0003-3691-6662","OK",,"OK - no known exceptions"
"ece1167c-8491-4d6a-8aaa-e2d21c1c3ee8","PUUM_034.basePlot.div","D20","PUUM",19.549124,-155.312265,"WGS84",20.19,1646.6,0.2,"tower","evergreenForest","PUUM_034","41.4.1","2022-06-06",1,"PUUM.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","CIGL","Cibotium glaucum (Sm.) Hook. & Arn.","species","Dicksoniaceae","N",,,,,,,18.00,"Y",,,"0000-0003-1142-4215","0000-0003-3691-6662","OK",,"OK - no known exceptions"
"75e57f10-59a1-4822-b74e-e2faf5ca2508","PUUM_034.basePlot.div","D20","PUUM",19.549124,-155.312265,"WGS84",20.19,1646.6,0.2,"tower","evergreenForest","PUUM_034","40.3.1","2022-06-06",1,"PUUM.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","ALST11","Alyxia stellata (J.R. Forst. & G. Forst.) Roem. & Schult.","species","Apocynaceae","N",,,,,,,1.00,"N",,,"0000-0003-1142-4215","0000-0003-3691-6662","OK",,"OK - no known exceptions"
"39ba1fd5-f04b-4320-aced-738684cfe025","PUUM_034.basePlot.div","D20","PUUM",19.549124,-155.312265,"WGS84",20.19,1646.6,0.2,"tower","evergreenForest","PUUM_034","40.1.1","2022-06-06",1,"PUUM.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","MEPO5","Metrosideros polymorpha Gaudich.","species","Myrtaceae","N",,,,,,,0.50,"N",,"Seedlings","0000-0003-1142-4215","0000-0003-3691-6662","OK",,"OK - no known exceptions"
"8f02414a-2139-4c32-8bf6-dc9ae0082c4c","PUUM_034.basePlot.div","D20","PUUM",19.549124,-155.312265,"WGS84",20.19,1646.6,0.2,"tower","evergreenForest","PUUM_034","32.4.1","2022-06-06",1,"PUUM.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","MEPO5","Metrosideros polymorpha Gaudich.","species","Myrtaceae","N",,,,,,,1.00,"Y",,,"0000-0003-1142-4215","0000-0003-3691-6662","OK",,"OK - no known exceptions"
