uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"145f0c21-4f7d-4cdb-843d-bb60295cccf4","WREF_013.basePlot.div","D16","WREF",45.835857,-122.018935,"WGS84",20.11,614.2,0.1,"distributed","evergreenForest","WREF_013","41.4.1","2020-08-01",1,"WREF.1.2020","NEON.DOC.014042vK","otherVariables","Y","Y",,,,,,,,,,,"moss",1.00,,,,"0000-0001-8510-4041","0000-0001-8510-4041","OK",,"OK - no known exceptions"
"99f922ff-02bf-4568-8cd6-67b3c5d9c17c","WREF_013.basePlot.div","D16","WREF",45.835857,-122.018935,"WGS84",20.11,614.2,0.1,"distributed","evergreenForest","WREF_013","40.1.1","2020-08-01",1,"WREF.1.2020","NEON.DOC.014042vK","otherVariables","Y","Y",,,,,,,,,,,"lichen",2.00,,,,"0000-0002-0205-7735","0000-0003-0629-9966","OK",,"OK - no known exceptions"
"b3e9817b-ef25-4837-a245-3284180fc152","WREF_013.basePlot.div","D16","WREF",45.835857,-122.018935,"WGS84",20.11,614.2,0.1,"distributed","evergreenForest","WREF_013","32.2.1","2020-08-01",1,"WREF.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","TRBOL","Trientalis borealis Raf. ssp. latifolia (Hook.) Hultén","subspecies","Primulaceae","N",,,,,,,1.00,"N",,,"0000-0003-2593-761X","0000-0001-9839-8237","OK",,"OK - no known exceptions"
"191552a2-1e46-45b9-94a8-50a46e2736f0","WREF_022.basePlot.div","D16","WREF",45.840400,-122.017276,"WGS84",20.12,611.6,0.2,"distributed","evergreenForest","WREF_022","32.2.1","2020-08-01",1,"WREF.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","LIBOL2","Linnaea borealis L. ssp. longiflora (Torr.) Hultén","subspecies","Caprifoliaceae","N",,,,,,,1.00,"N",,,"0000-0001-8510-4041","0000-0001-9839-8237","OK",,"OK - no known exceptions"
"6dbbaa8c-67a1-46b2-9937-c465e9a018cc","WREF_013.basePlot.div","D16","WREF",45.835857,-122.018935,"WGS84",20.11,614.2,0.1,"distributed","evergreenForest","WREF_013","40.3.1","2020-08-01",1,"WREF.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","TSHE","Tsuga heterophylla (Raf.) Sarg.","species","Pinaceae","N",,,,,,,0.50,"N",,,"0000-0002-0205-7735","0000-0003-0629-9966","OK",,"OK - no known exceptions"
"1a095ec2-5357-40f8-874a-53a264929560","WREF_022.basePlot.div","D16","WREF",45.840400,-122.017276,"WGS84",20.12,611.6,0.2,"distributed","evergreenForest","WREF_022","40.1.1","2020-08-01",1,"WREF.1.2020","NEON.DOC.014042vK","otherVariables","Y","Y",,,,,,,,,,,"litter",64.00,,,,"0000-0003-0629-9966","0000-0002-0205-7735","OK",,"OK - no known exceptions"
"a47e3fd6-57fe-41da-819d-e69ae6d782ec","WREF_022.basePlot.div","D16","WREF",45.840400,-122.017276,"WGS84",20.12,611.6,0.2,"distributed","evergreenForest","WREF_022","31.1.1","2020-08-01",1,"WREF.1.2020","NEON.DOC.014042vK","plantSpecies","Y","Y","XETE","Xerophyllum tenax (Pursh) Nutt.","species","Liliaceae","N",,,,,,,3.00,"N",,,"0000-0003-2593-761X","0000-0002-0205-7735","OK",,"OK - no known exceptions"
"51fc83de-065a-406c-afbd-1fd5e99208f9","WREF_013.basePlot.div","D16","WREF",45.835857,-122.018935,"WGS84",20.11,614.2,0.1,"distributed","evergreenForest","WREF_013","32.2.1","2020-08-01",1,"WREF.1.2020","NEON.DOC.014042vK","otherVariables","Y","Y",,,,,,,,,,,"wood",17.00,,,,"0000-0003-2593-761X","0000-0001-9839-8237","OK",,"OK - no known exceptions"
"695f9b80-feaa-49e5-be82-267cb177cd05","WREF_022.basePlot.div","D16","WREF",45.840400,-122.017276,"WGS84",20.12,611.6,0.2,"distributed","evergreenForest","WREF_022","40.1.1","2020-08-01",1,"WREF.1.2020","NEON.DOC.014042vK","otherVariables","Y","Y",,,,,,,,,,,"wood",10.00,,,,"0000-0003-0629-9966","0000-0002-0205-7735","OK",,"OK - no known exceptions"
"dfc386f2-5728-4792-a6a3-721881a2cc37","WREF_013.basePlot.div","D16","WREF",45.835857,-122.018935,"WGS84",20.11,614.2,0.1,"distributed","evergreenForest","WREF_013","31.1.1","2020-08-01",1,"WREF.1.2020","NEON.DOC.014042vK","otherVariables","Y","Y",,,,,,,,,,,"moss",6.00,,,,"0000-0001-8510-4041","0000-0001-8510-4041","OK",,"OK - no known exceptions"
