uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"10aa5103-5f25-4c3e-964d-e900f35b90dc","SRER_013.basePlot.div","D14","SRER",31.809753,-110.893755,"WGS84",20.10,1066.7,0.1,"distributed","shrubScrub","SRER_013","40.3.1","2022-04-04",1,"SRER.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"litter",70.00,,,,"0000-0002-4985-4248","0000-0001-5408-0075","OK",,"OK - no known exceptions"
"f1bbaecf-0370-42a1-aeeb-2d9de5d360db","SRER_013.basePlot.div","D14","SRER",31.809753,-110.893755,"WGS84",20.10,1066.7,0.1,"distributed","shrubScrub","SRER_013","40.3.1","2022-04-04",1,"SRER.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"rock",0.50,,,,"0000-0002-4985-4248","0000-0001-5408-0075","OK",,"OK - no known exceptions"
"327d6e37-1b87-4c12-9431-3c6780bbbd11","SRER_013.basePlot.div","D14","SRER",31.809753,-110.893755,"WGS84",20.10,1066.7,0.1,"distributed","shrubScrub","SRER_013","40.1.1","2022-04-04",1,"SRER.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","DICA8","Digitaria californica (Benth.) Henr.","species","Poaceae","N",,,,,,,0.50,"N",,,"0000-0002-4985-4248","0000-0001-5408-0075","OK",,"OK - no known exceptions"
"e45fae7e-b3ef-4575-a9f7-5c2a55d8ee6d","SRER_013.basePlot.div","D14","SRER",31.809753,-110.893755,"WGS84",20.10,1066.7,0.1,"distributed","shrubScrub","SRER_013","32.4.1","2022-04-04",1,"SRER.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","CRAN4","Cryptantha angustifolia (Torr.) Greene","species","Boraginaceae","N",,,,,,,0.50,"N",,,"0000-0002-4985-4248","0000-0001-5408-0075","OK",,"OK - no known exceptions"
"faab0d08-02dd-41f1-8c18-aca32e6801f1","SRER_013.basePlot.div","D14","SRER",31.809753,-110.893755,"WGS84",20.10,1066.7,0.1,"distributed","shrubScrub","SRER_013","40.1.1","2022-04-04",1,"SRER.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"biocrustLightCyanobacteria",2.00,,,,"0000-0002-4985-4248","0000-0001-5408-0075","OK",,"OK - no known exceptions"
"2085b1a4-43ca-4390-88bf-91239b49ae61","SRER_013.basePlot.div","D14","SRER",31.809753,-110.893755,"WGS84",20.10,1066.7,0.1,"distributed","shrubScrub","SRER_013","32.2.1","2022-04-04",1,"SRER.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"lichen",0.50,,,,"0000-0002-4985-4248","0000-0001-5408-0075","OK",,"OK - no known exceptions"
"03094a19-cf33-4616-99cf-31bb61046de7","SRER_013.basePlot.div","D14","SRER",31.809753,-110.893755,"WGS84",20.10,1066.7,0.1,"distributed","shrubScrub","SRER_013","32.2.1","2022-04-04",1,"SRER.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"soil",11.00,,,,"0000-0002-4985-4248","0000-0001-5408-0075","OK",,"OK - no known exceptions"
"d4acce2a-1bbd-451b-ac54-eef3ffc733d2","SRER_013.basePlot.div","D14","SRER",31.809753,-110.893755,"WGS84",20.10,1066.7,0.1,"distributed","shrubScrub","SRER_013","32.2.1","2022-04-04",1,"SRER.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","EVOLV","Evolvulus sp.","genus","Convolvulaceae","N",,,,,,,1.00,"N",,,"0000-0002-4985-4248","0000-0001-5408-0075","OK",,"OK - no known exceptions"
"a3db3371-ff09-43aa-9142-2e78403ae443","SRER_013.basePlot.div","D14","SRER",31.809753,-110.893755,"WGS84",20.10,1066.7,0.1,"distributed","shrubScrub","SRER_013","41.4.1","2022-04-04",1,"SRER.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"biocrustLightCyanobacteria",0.50,,,,"0000-0002-4985-4248","0000-0001-5408-0075","OK",,"OK - no known exceptions"
"f1b1d328-d3f4-49a1-9ade-df6315d088e8","SRER_013.basePlot.div","D14","SRER",31.809753,-110.893755,"WGS84",20.10,1066.7,0.1,"distributed","shrubScrub","SRER_013","41.4.1","2022-04-04",1,"SRER.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","PEPL","Pectocarya platycarpa (Munz & I.M. Johnst.) Munz & I.M. Johnst.","species","Boraginaceae","N",,,,,,,0.50,"N",,,"0000-0002-4985-4248","0000-0001-5408-0075","OK",,"OK - no known exceptions"
