uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"4740265f-e549-4df5-b4dd-9d6510e1e8b1","UNDE_022.basePlot.div","D05","UNDE",46.230668,-89.569550,"WGS84",20.10,508.9,0.1,"distributed","woodyWetlands","UNDE_022","40.1.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"6b3aee6d-99ef-44b0-ad9f-b7d0f9170394","UNDE_036.basePlot.div","D05","UNDE",46.253708,-89.516869,"WGS84",20.16,525.0,0.2,"distributed","mixedForest","UNDE_036","31.1.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"459cd4d6-48cf-4236-b706-c3e1d8e0832b","UNDE_016.basePlot.div","D05","UNDE",46.245970,-89.525485,"WGS84",20.14,505.1,0.2,"distributed","woodyWetlands","UNDE_016","41.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"96a4f65b-9063-49f6-81d5-84670e2d76e3","UNDE_014.basePlot.div","D05","UNDE",46.225960,-89.513299,"WGS84",20.17,524.0,0.2,"distributed","deciduousForest","UNDE_014","40.3.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"0fa628ac-1f63-4d77-8794-b78793ded145","UNDE_029.basePlot.div","D05","UNDE",46.251554,-89.516809,"WGS84",20.22,521.9,0.3,"distributed","deciduousForest","UNDE_029","31.1.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"f205e041-32ac-4a34-82a7-c338b3f30d72","UNDE_028.basePlot.div","D05","UNDE",46.256879,-89.545066,"WGS84",20.19,519.4,0.2,"distributed","deciduousForest","UNDE_028","41.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"235e8f40-075e-4ad7-84a0-8eea17ca7360","UNDE_034.basePlot.div","D05","UNDE",46.248534,-89.520942,"WGS84",20.23,519.1,0.3,"distributed","mixedForest","UNDE_034","41.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"06f4345c-ff74-4d09-86fc-16742e5494da","UNDE_025.basePlot.div","D05","UNDE",46.234098,-89.573198,"WGS84",20.10,508.9,0.1,"distributed","woodyWetlands","UNDE_025","32.2.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"26b8f07e-f034-421a-8ff3-53c01496900c","UNDE_077.basePlot.div","D05","UNDE",46.247265,-89.539571,"WGS84",20.19,516.4,0.2,"distributed","mixedForest","UNDE_077","32.2.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"c5ea3f13-a975-4a26-9a8b-114411f66ef0","UNDE_014.basePlot.div","D05","UNDE",46.225960,-89.513299,"WGS84",20.17,524.0,0.2,"distributed","deciduousForest","UNDE_014","32.2.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"e1e467c5-e7d6-4fd5-b4e7-621617505801","UNDE_014.basePlot.div","D05","UNDE",46.225960,-89.513299,"WGS84",20.17,524.0,0.2,"distributed","deciduousForest","UNDE_014","32.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"b7ad919f-c81b-4ee1-b1f9-dd5277536b71","UNDE_014.basePlot.div","D05","UNDE",46.225960,-89.513299,"WGS84",20.17,524.0,0.2,"distributed","deciduousForest","UNDE_014","41.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"93e6dece-2c8a-4885-910b-5214ece3e03e","UNDE_020.basePlot.div","D05","UNDE",46.207506,-89.481736,"WGS84",20.18,507.2,0.4,"distributed","woodyWetlands","UNDE_020","32.2.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"b7b76876-2528-48e7-9c37-8cb4a1b33898","UNDE_014.basePlot.div","D05","UNDE",46.225960,-89.513299,"WGS84",20.17,524.0,0.2,"distributed","deciduousForest","UNDE_014","40.1.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"443cb3e6-88d0-4d10-a89b-3f6f22487819","UNDE_016.basePlot.div","D05","UNDE",46.245970,-89.525485,"WGS84",20.14,505.1,0.2,"distributed","woodyWetlands","UNDE_016","32.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"14e047f9-7ae1-4c5a-8f66-eb3ae2d63233","UNDE_016.basePlot.div","D05","UNDE",46.245970,-89.525485,"WGS84",20.14,505.1,0.2,"distributed","woodyWetlands","UNDE_016","31.1.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"999bb943-ee25-4139-ab57-be7f6bcc6556","UNDE_023.basePlot.div","D05","UNDE",46.230008,-89.501807,"WGS84",20.14,516.4,0.2,"distributed","woodyWetlands","UNDE_023","41.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"e9d9df7f-6c24-4624-9ad3-901a008155b3","UNDE_028.basePlot.div","D05","UNDE",46.256879,-89.545066,"WGS84",20.19,519.4,0.2,"distributed","deciduousForest","UNDE_028","40.1.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"1379c890-284b-4cee-bf33-fc9e63da743b","UNDE_019.basePlot.div","D05","UNDE",46.258243,-89.543562,"WGS84",20.27,517.5,0.3,"distributed","deciduousForest","UNDE_019","32.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"2f943e66-afee-410f-99ac-4b11e138e892","UNDE_025.basePlot.div","D05","UNDE",46.234098,-89.573198,"WGS84",20.10,508.9,0.1,"distributed","woodyWetlands","UNDE_025","40.1.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"cf05b4d5-e8fa-4ddf-8378-e58bbf407866","UNDE_022.basePlot.div","D05","UNDE",46.230668,-89.569550,"WGS84",20.10,508.9,0.1,"distributed","woodyWetlands","UNDE_022","40.3.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"2371ca0a-fcb0-403b-bf78-9ca5dc00b7c7","UNDE_019.basePlot.div","D05","UNDE",46.258243,-89.543562,"WGS84",20.27,517.5,0.3,"distributed","deciduousForest","UNDE_019","40.1.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"f7a2f1dd-23a6-4e10-8584-32ca97a7910d","UNDE_020.basePlot.div","D05","UNDE",46.207506,-89.481736,"WGS84",20.18,507.2,0.4,"distributed","woodyWetlands","UNDE_020","31.1.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"b09d31b7-40a0-422f-959d-236c57e71996","UNDE_027.basePlot.div","D05","UNDE",46.210824,-89.490040,"WGS84",20.23,516.7,0.3,"distributed","deciduousForest","UNDE_027","32.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"c1c89531-4b6f-4d53-8977-53be1e23dec8","UNDE_077.basePlot.div","D05","UNDE",46.247265,-89.539571,"WGS84",20.19,516.4,0.2,"distributed","mixedForest","UNDE_077","40.3.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"1eba7573-356d-4d5f-85fb-0a05e57b9605","UNDE_036.basePlot.div","D05","UNDE",46.253708,-89.516869,"WGS84",20.16,525.0,0.2,"distributed","mixedForest","UNDE_036","41.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"bd29ae9a-0c47-48f0-b2de-fa2c33565baf","UNDE_016.basePlot.div","D05","UNDE",46.245970,-89.525485,"WGS84",20.14,505.1,0.2,"distributed","woodyWetlands","UNDE_016","40.3.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"8754ecb8-4689-4034-aaf4-c11297c66c5c","UNDE_024.basePlot.div","D05","UNDE",46.215356,-89.516732,"WGS84",20.29,504.9,0.5,"distributed","woodyWetlands","UNDE_024","32.2.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"d05afef4-9f4d-426a-8620-972e05d36625","UNDE_020.basePlot.div","D05","UNDE",46.207506,-89.481736,"WGS84",20.18,507.2,0.4,"distributed","woodyWetlands","UNDE_020","32.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"0cb7c89d-ce58-4dc7-8c43-a0d2c0387d29","UNDE_016.basePlot.div","D05","UNDE",46.245970,-89.525485,"WGS84",20.14,505.1,0.2,"distributed","woodyWetlands","UNDE_016","40.1.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"0b92d5ab-91bf-439c-937f-98d6839d9063","UNDE_019.basePlot.div","D05","UNDE",46.258243,-89.543562,"WGS84",20.27,517.5,0.3,"distributed","deciduousForest","UNDE_019","32.2.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"f674f535-37ac-49d1-82b0-c08482be679c","UNDE_018.basePlot.div","D05","UNDE",46.243048,-89.534710,"WGS84",20.12,506.4,0.1,"distributed","woodyWetlands","UNDE_018","41.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"245b0af7-299b-49a6-8780-35aeb6e79d1a","UNDE_018.basePlot.div","D05","UNDE",46.243048,-89.534710,"WGS84",20.12,506.4,0.1,"distributed","woodyWetlands","UNDE_018","40.3.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"cf2cf5ff-2181-42bc-a851-0512fc0ad621","UNDE_027.basePlot.div","D05","UNDE",46.210824,-89.490040,"WGS84",20.23,516.7,0.3,"distributed","deciduousForest","UNDE_027","32.2.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"0ec92d92-a894-4f2d-b494-c62e17c0dc9f","UNDE_030.basePlot.div","D05","UNDE",46.234502,-89.518756,"WGS84",20.24,519.0,0.3,"distributed","deciduousForest","UNDE_030","40.1.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"8df5bae4-4a8f-4ac4-b5ec-4fe4b632a141","UNDE_029.basePlot.div","D05","UNDE",46.251554,-89.516809,"WGS84",20.22,521.9,0.3,"distributed","deciduousForest","UNDE_029","40.1.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"e5d3f2fa-baff-4573-9bc4-822ae5442f1f","UNDE_024.basePlot.div","D05","UNDE",46.215356,-89.516732,"WGS84",20.29,504.9,0.5,"distributed","woodyWetlands","UNDE_024","32.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"5936e43f-0eb8-41f6-a3ed-bdd4d039ea9e","UNDE_025.basePlot.div","D05","UNDE",46.234098,-89.573198,"WGS84",20.10,508.9,0.1,"distributed","woodyWetlands","UNDE_025","32.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"75c0556e-ded3-40f6-a087-c55480afa91a","UNDE_020.basePlot.div","D05","UNDE",46.207506,-89.481736,"WGS84",20.18,507.2,0.4,"distributed","woodyWetlands","UNDE_020","41.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"165a4cd9-6709-49f2-9873-c75aee4f46f2","UNDE_021.basePlot.div","D05","UNDE",46.218464,-89.511800,"WGS84",20.24,508.7,0.4,"distributed","woodyWetlands","UNDE_021","41.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"1ea535a0-f182-4ca4-b036-cce2b531fda9","UNDE_024.basePlot.div","D05","UNDE",46.215356,-89.516732,"WGS84",20.29,504.9,0.5,"distributed","woodyWetlands","UNDE_024","41.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"febeb818-af0d-4436-845e-a16d6317bc75","UNDE_022.basePlot.div","D05","UNDE",46.230668,-89.569550,"WGS84",20.10,508.9,0.1,"distributed","woodyWetlands","UNDE_022","31.1.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"9c7e3ac2-11fd-4f32-8fe6-bf0d783f0dd6","UNDE_030.basePlot.div","D05","UNDE",46.234502,-89.518756,"WGS84",20.24,519.0,0.3,"distributed","deciduousForest","UNDE_030","31.1.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"fa273c9c-25bf-4bd9-8cb3-0dd24d2acdbf","UNDE_028.basePlot.div","D05","UNDE",46.256879,-89.545066,"WGS84",20.19,519.4,0.2,"distributed","deciduousForest","UNDE_028","31.1.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"db171ea4-f4d0-449c-9848-2e1d8bad1c10","UNDE_019.basePlot.div","D05","UNDE",46.258243,-89.543562,"WGS84",20.27,517.5,0.3,"distributed","deciduousForest","UNDE_019","31.1.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"ea43d398-0851-4334-87f9-2180781ab657","UNDE_077.basePlot.div","D05","UNDE",46.247265,-89.539571,"WGS84",20.19,516.4,0.2,"distributed","mixedForest","UNDE_077","41.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"dcc331ee-d14c-49e4-b0ca-bf0028d688cd","UNDE_025.basePlot.div","D05","UNDE",46.234098,-89.573198,"WGS84",20.10,508.9,0.1,"distributed","woodyWetlands","UNDE_025","40.3.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"f6be802c-a5e4-425a-a3e0-79d64b7c9707","UNDE_022.basePlot.div","D05","UNDE",46.230668,-89.569550,"WGS84",20.10,508.9,0.1,"distributed","woodyWetlands","UNDE_022","32.4.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
"e75953bb-da6d-41e6-bea1-424c0040593b","UNDE_035.basePlot.div","D05","UNDE",46.218532,-89.507910,"WGS84",20.19,521.3,0.2,"distributed","mixedForest","UNDE_035","31.1.1","2022-08-18",1,"UNDE.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0002-8883-3677",,"logistical","Resource Limitations","OK - no known exceptions"
