uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"298a0b70-6ef6-46d7-8499-752dd3a0e270","WOOD_044.basePlot.div","D09","WOOD",47.128290,-99.243528,"WGS84",20.11,586.4,0.2,"tower","grasslandHerbaceous","WOOD_044","40.3.1","2022-08-04",1,"WOOD.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","ASOV","Asclepias ovalifolia Decne.","species","Asclepiadaceae","N",,,,,,,2.00,"N",,,"0000-0001-9009-8643","0000-0002-3991-0445","OK",,"OK - no known exceptions"
"e84ba0ae-24ac-45d6-a542-0220e0ec9c0c","WOOD_042.basePlot.div","D09","WOOD",47.129092,-99.245921,"WGS84",20.11,584.5,0.2,"tower","grasslandHerbaceous","WOOD_042","32.2.1","2022-08-04",1,"WOOD.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"scat",1.00,,,,"0000-0003-0607-4441","0000-0002-7154-3219","OK",,"OK - no known exceptions"
"b42ccc00-0cc0-4770-85ce-f7bdb2ae8cd3","WOOD_042.basePlot.div","D09","WOOD",47.129092,-99.245921,"WGS84",20.11,584.5,0.2,"tower","grasslandHerbaceous","WOOD_042","32.2.1","2022-08-04",1,"WOOD.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"standingDeadHerbaceous",2.00,,,,"0000-0003-0607-4441","0000-0002-7154-3219","OK",,"OK - no known exceptions"
"c9313c1d-f98b-478a-9e37-7cc5f7e5260f","WOOD_042.basePlot.div","D09","WOOD",47.129092,-99.245921,"WGS84",20.11,584.5,0.2,"tower","grasslandHerbaceous","WOOD_042","31.1.1","2022-08-04",1,"WOOD.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","POAME","Polygonum amphibium L. var. emersum Michx.","variety","Polygonaceae","N",,,,,,,12.00,"N",,,"0000-0003-0607-4441","0000-0002-7154-3219","OK",,"OK - no known exceptions"
"8a8911f9-c2fb-4b95-b2f1-d1892de3dfec","WOOD_042.basePlot.div","D09","WOOD",47.129092,-99.245921,"WGS84",20.11,584.5,0.2,"tower","grasslandHerbaceous","WOOD_042","32.4.1","2022-08-04",1,"WOOD.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","POACEA","Poaceae sp.","family","Poaceae","UNK",,,,,,,5.00,"N",,"Same as subplot 32","0000-0003-0607-4441","0000-0002-7154-3219","OK",,"OK - no known exceptions"
"d9c2b49a-71c1-4897-8a54-52a577a76460","WOOD_044.basePlot.div","D09","WOOD",47.128290,-99.243528,"WGS84",20.11,586.4,0.2,"tower","grasslandHerbaceous","WOOD_044","40.1.1","2022-08-04",1,"WOOD.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","SOCA6","Solidago canadensis L.","species","Asteraceae","N",,,,,,,35.00,"N",,,"0000-0001-9009-8643","0000-0002-3991-0445","OK",,"OK - no known exceptions"
"e41d0651-1b8b-4d8d-8d11-5aaa79f82d0e","WOOD_044.basePlot.div","D09","WOOD",47.128290,-99.243528,"WGS84",20.11,586.4,0.2,"tower","grasslandHerbaceous","WOOD_044","40.3.1","2022-08-04",1,"WOOD.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","LATAP","Lactuca tatarica (L.) C.A. Mey. var. pulchella (Pursh) Breitung","variety","Asteraceae","N",,,,,,,2.00,"N",,,"0000-0001-9009-8643","0000-0002-3991-0445","OK",,"OK - no known exceptions"
"14473ad9-bfe7-4b09-9e96-2c656bdd264a","WOOD_044.basePlot.div","D09","WOOD",47.128290,-99.243528,"WGS84",20.11,586.4,0.2,"tower","grasslandHerbaceous","WOOD_044","41.4.1","2022-08-04",1,"WOOD.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"standingDeadHerbaceous",3.00,,,,"0000-0003-0607-4441","0000-0002-7154-3219","OK",,"OK - no known exceptions"
"1b8b6d45-582d-47db-9995-89d49d62287b","WOOD_044.basePlot.div","D09","WOOD",47.128290,-99.243528,"WGS84",20.11,586.4,0.2,"tower","grasslandHerbaceous","WOOD_044","40.3.1","2022-08-04",1,"WOOD.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","SOCA6","Solidago canadensis L.","species","Asteraceae","N",,,,,,,15.00,"N",,,"0000-0001-9009-8643","0000-0002-3991-0445","OK",,"OK - no known exceptions"
"b9c592f7-f784-4e33-b978-f26448b47ff2","WOOD_044.basePlot.div","D09","WOOD",47.128290,-99.243528,"WGS84",20.11,586.4,0.2,"tower","grasslandHerbaceous","WOOD_044","41.4.1","2022-08-04",1,"WOOD.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","MELU","Medicago lupulina L.","species","Fabaceae","I",,,,,,,0.50,"N",,,"0000-0003-0607-4441","0000-0002-7154-3219","OK",,"OK - no known exceptions"
