uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"8ed4dd50-1bdc-42fc-95d0-e0db51c378bf","HARV_031.basePlot.div","D01","HARV",42.467507,-72.260079,"WGS84",20.14,160.6,0.2,"distributed","evergreenForest","HARV_031","40.3.1","2022-09-08",1,"HARV.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-5083-3789",,"logistical","Personnel shortage",
"ee187f13-db05-46a7-92c2-ad18a70c09fb","HARV_031.basePlot.div","D01","HARV",42.467507,-72.260079,"WGS84",20.14,160.6,0.2,"distributed","evergreenForest","HARV_031","31.1.1","2022-09-08",1,"HARV.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-5083-3789",,"logistical","Personnel shortage",
"db50ae81-c313-435c-8fd8-639e05ce2f2c","HARV_058.basePlot.div","D01","HARV",42.469743,-72.252270,"WGS84",20.15,202.1,0.2,"distributed","mixedForest","HARV_058","32.4.1","2022-09-08",1,"HARV.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-5083-3789",,"logistical","Personnel shortage",
"1edd72dd-2a3f-40bb-a272-8aac9f26a8b7","HARV_030.basePlot.div","D01","HARV",42.423045,-72.218966,"WGS84",20.11,171.8,0.1,"distributed","evergreenForest","HARV_030","40.1.1","2022-09-08",1,"HARV.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-5083-3789",,"logistical","Personnel shortage",
"aa6c8d95-a180-47f5-8f52-84658a155ee3","HARV_058.basePlot.div","D01","HARV",42.469743,-72.252270,"WGS84",20.15,202.1,0.2,"distributed","mixedForest","HARV_058","40.1.1","2022-09-08",1,"HARV.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-5083-3789",,"logistical","Personnel shortage",
"7bea1656-2a02-4544-8c93-e96da8b5e45f","HARV_017.basePlot.div","D01","HARV",42.481741,-72.267080,"WGS84",20.14,226.4,0.2,"distributed","deciduousForest","HARV_017","41.4.1","2022-09-08",1,"HARV.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-5083-3789",,"logistical","Personnel shortage",
"b6f1be5c-3be2-4c2b-9745-9ef9fe23e141","HARV_017.basePlot.div","D01","HARV",42.481741,-72.267080,"WGS84",20.14,226.4,0.2,"distributed","deciduousForest","HARV_017","31.1.1","2022-09-08",1,"HARV.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-5083-3789",,"logistical","Personnel shortage",
"1c3171f5-f1bc-4675-a0fe-cd5e64afa085","HARV_058.basePlot.div","D01","HARV",42.469743,-72.252270,"WGS84",20.15,202.1,0.2,"distributed","mixedForest","HARV_058","31.1.1","2022-09-08",1,"HARV.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-5083-3789",,"logistical","Personnel shortage",
"c5a5fdfd-ca01-42e4-ad1e-b7d8a5a27378","HARV_059.basePlot.div","D01","HARV",42.480806,-72.275442,"WGS84",20.32,168.8,0.4,"distributed","mixedForest","HARV_059","41.4.1","2022-09-08",1,"HARV.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-5083-3789",,"logistical","Personnel shortage",
"d41210f9-4046-4396-8366-c9e1454fa297","HARV_030.basePlot.div","D01","HARV",42.423045,-72.218966,"WGS84",20.11,171.8,0.1,"distributed","evergreenForest","HARV_030","32.2.1","2022-09-08",1,"HARV.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-5083-3789",,"logistical","Personnel shortage",
"23b17738-f652-433c-bb3e-9f2c5b43f9c2","HARV_063.basePlot.div","D01","HARV",42.444983,-72.221250,"WGS84",20.17,221.1,0.2,"distributed","woodyWetlands","HARV_063","32.4.1","2022-09-08",1,"HARV.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-5083-3789",,"logistical","Personnel shortage",
"d88ebc7b-8ffb-42ce-a167-cc90d3d5b63f","HARV_058.basePlot.div","D01","HARV",42.469743,-72.252270,"WGS84",20.15,202.1,0.2,"distributed","mixedForest","HARV_058","40.3.1","2022-09-08",1,"HARV.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-5083-3789",,"logistical","Personnel shortage",
"c5761e8d-d1ae-49cf-bf3f-033a57ee5cc8","HARV_059.basePlot.div","D01","HARV",42.480806,-72.275442,"WGS84",20.32,168.8,0.4,"distributed","mixedForest","HARV_059","32.4.1","2022-09-08",1,"HARV.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-5083-3789",,"logistical","Personnel shortage",
"a57fe556-5aea-4334-b701-7bf91d8d22e0","HARV_031.basePlot.div","D01","HARV",42.467507,-72.260079,"WGS84",20.14,160.6,0.2,"distributed","evergreenForest","HARV_031","32.4.1","2022-09-08",1,"HARV.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-5083-3789",,"logistical","Personnel shortage",
"b0a175ec-80f7-4360-bae3-78cb71dc757d","HARV_017.basePlot.div","D01","HARV",42.481741,-72.267080,"WGS84",20.14,226.4,0.2,"distributed","deciduousForest","HARV_017","32.2.1","2022-09-08",1,"HARV.1.2022","NEON.DOC.014042vM",,,,,,,,,,,,,,,,,,"Sampling impractical record","0000-0001-5083-3789",,"logistical","Personnel shortage",
