uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"0e072901-32f8-4771-9f64-20eee74ebd01","CLBJ_033.basePlot.div","D11","CLBJ",33.380971,-97.620209,"WGS84",20.10,308.6,0.1,"distributed","deciduousForest","CLBJ_033","40.1.1","2022-07-13",1,"CLBJ.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"lichen",0.50,,,,"0000-0001-5569-8352","0000-0003-4899-6153","OK",,"OK - no known exceptions"
"4831c458-5dae-4631-a420-62da194e8ed7","CLBJ_033.basePlot.div","D11","CLBJ",33.380971,-97.620209,"WGS84",20.10,308.6,0.1,"distributed","deciduousForest","CLBJ_033","31.1.1","2022-07-13",1,"CLBJ.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"soil",0.50,,,,"0000-0001-5569-8352","0000-0001-7985-6626","OK",,"OK - no known exceptions"
"0df38d08-ed3c-4e93-96ad-3cf9b0e1a70d","CLBJ_033.basePlot.div","D11","CLBJ",33.380971,-97.620209,"WGS84",20.10,308.6,0.1,"distributed","deciduousForest","CLBJ_033","31.1.1","2022-07-13",1,"CLBJ.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","SMBO2","Smilax bona-nox L.","species","Smilacaceae","N",,,,,,,5.00,"N",,,"0000-0001-5569-8352","0000-0001-7985-6626","OK",,"OK - no known exceptions"
"1b28c670-9ee9-47df-89fc-55f04afa68b2","CLBJ_033.basePlot.div","D11","CLBJ",33.380971,-97.620209,"WGS84",20.10,308.6,0.1,"distributed","deciduousForest","CLBJ_033","31.1.1","2022-07-13",1,"CLBJ.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","SYOR","Symphoricarpos orbiculatus Moench","species","Caprifoliaceae","N",,,,,,,35.00,"N",,,"0000-0001-5569-8352","0000-0001-7985-6626","OK",,"OK - no known exceptions"
"b1dbc9b5-495b-4e27-ba0e-944c5ff88a1e","CLBJ_033.basePlot.div","D11","CLBJ",33.380971,-97.620209,"WGS84",20.10,308.6,0.1,"distributed","deciduousForest","CLBJ_033","31.1.1","2022-07-13",1,"CLBJ.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","LEPR","Lespedeza procumbens Michx.","species","Fabaceae","N",,,,,,,0.50,"N",,,"0000-0001-5569-8352","0000-0001-7985-6626","OK",,"OK - no known exceptions"
"c266f0b3-f364-4160-97f8-7d9468af8ed3","CLBJ_033.basePlot.div","D11","CLBJ",33.380971,-97.620209,"WGS84",20.10,308.6,0.1,"distributed","deciduousForest","CLBJ_033","40.1.1","2022-07-13",1,"CLBJ.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"wood",3.00,,,,"0000-0001-5569-8352","0000-0003-4899-6153","OK",,"OK - no known exceptions"
"46636675-eb32-4b86-a99b-b1854375f76f","CLBJ_033.basePlot.div","D11","CLBJ",33.380971,-97.620209,"WGS84",20.10,308.6,0.1,"distributed","deciduousForest","CLBJ_033","40.3.1","2022-07-13",1,"CLBJ.1.2022","NEON.DOC.014042vM","plantSpecies","Y","Y","PAQU2","Parthenocissus quinquefolia (L.) Planch.","species","Vitaceae","N",,,,,,,0.50,"N",,,"0000-0001-5569-8352","0000-0003-4899-6153","OK",,"OK - no known exceptions"
"5dd04ce3-dd1a-48b5-b5e9-42b2524115aa","CLBJ_033.basePlot.div","D11","CLBJ",33.380971,-97.620209,"WGS84",20.10,308.6,0.1,"distributed","deciduousForest","CLBJ_033","31.1.1","2022-07-13",1,"CLBJ.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"wood",7.00,,,,"0000-0001-5569-8352","0000-0001-7985-6626","OK",,"OK - no known exceptions"
"19d0b71b-61a5-4665-9636-f9b98434df6d","CLBJ_033.basePlot.div","D11","CLBJ",33.380971,-97.620209,"WGS84",20.10,308.6,0.1,"distributed","deciduousForest","CLBJ_033","40.3.1","2022-07-13",1,"CLBJ.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"litter",35.00,,,,"0000-0001-5569-8352","0000-0003-4899-6153","OK",,"OK - no known exceptions"
"4149f769-6612-408d-a5d3-f4cc9eb28e1e","CLBJ_033.basePlot.div","D11","CLBJ",33.380971,-97.620209,"WGS84",20.10,308.6,0.1,"distributed","deciduousForest","CLBJ_033","40.1.1","2022-07-13",1,"CLBJ.1.2022","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,"soil",1.00,,,,"0000-0001-5569-8352","0000-0003-4899-6153","OK",,"OK - no known exceptions"
